"Code ROME";"libellé métier onisep";"lien site onisep.fr";"Lib_ROME_FT";"lien site FT";"transitionEcologique";"transitionEcologiqueDetaillee";"transitionNumerique";"transitionDemographique"
"A1101";"conducteur / conductrice de machines agricoles";"https://www.onisep.fr/http/redirection/metier/slug/MET.287";"Conducteur / Conductrice d'engins agricoles";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1101";"Non";"";"Non";"Non"
"A1101";"conducteur / conductrice d'engins forestiers de récolte en entreprises de travaux forestiers";"https://www.onisep.fr/http/redirection/metier/slug/MET.741";"Conducteur / Conductrice d'engins agricoles";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1101";"Non";"";"Non";"Non"
"A1201";"élagueur / élagueuse";"https://www.onisep.fr/http/redirection/metier/slug/MET.900";"Élagueur / Élagueuse";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1201";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1201";"bûcheron / bûcheronne";"https://www.onisep.fr/http/redirection/metier/slug/MET.705";"Élagueur / Élagueuse";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1201";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1202";"";"";"Agent / Agente d'entretien des espaces naturels";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1202";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1203";"technicien / technicienne paysagiste";"https://www.onisep.fr/http/redirection/metier/slug/MET.197";"Jardinier / Jardinière";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1203";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1203";"ouvrier / ouvrière paysagiste";"https://www.onisep.fr/http/redirection/metier/slug/MET.120";"Jardinier / Jardinière";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1203";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1204";"garde (chasse, pêche, littoral, rivière, parcs nationaux)";"https://www.onisep.fr/http/redirection/metier/slug/MET.71";"Garde forestier / forestière";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1204";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1204";"garde à cheval";"https://www.onisep.fr/http/redirection/metier/slug/MET.454";"Garde forestier / forestière";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1204";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1205";"ouvrier forestier / ouvrière forestière";"https://www.onisep.fr/http/redirection/metier/slug/MET.50";"Forestier / Forestière";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1205";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1301";"conseiller / conseillère d'élevage";"https://www.onisep.fr/http/redirection/metier/slug/MET.234";"Technicien / Technicienne de culture maraîchère";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1301";"Non";"";"Non";"Non"
"A1301";"technicien forestier / technicienne forestière";"https://www.onisep.fr/http/redirection/metier/slug/MET.290";"Technicien / Technicienne de culture maraîchère";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1301";"Non";"";"Non";"Non"
"A1301";"conseiller / conseillère agricole";"https://www.onisep.fr/http/redirection/metier/slug/MET.265";"Technicien / Technicienne de culture maraîchère";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1301";"Non";"";"Non";"Non"
"A1302";"contrôleur / contrôleuse de performance";"https://www.onisep.fr/http/redirection/metier/slug/MET.865";"Technicien / Technicienne agricole";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1302";"Non";"";"Non";"Non"
"A1303";"inséminateur / inséminatrice";"https://www.onisep.fr/http/redirection/metier/slug/MET.831";"Ingénieur / Ingénieure agronome";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1303";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1303";"agronome";"https://www.onisep.fr/http/redirection/metier/slug/MET.428";"Ingénieur / Ingénieure agronome";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1303";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1303";"animateur / animatrice de bassin versant";"https://www.onisep.fr/http/redirection/metier/slug/MET.227";"Ingénieur / Ingénieure agronome";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1303";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1303";"ingénieur forestier / ingénieure forestière";"https://www.onisep.fr/http/redirection/metier/slug/MET.156";"Ingénieur / Ingénieure agronome";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1303";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1303";"halieute";"https://www.onisep.fr/http/redirection/metier/slug/MET.620";"Ingénieur / Ingénieure agronome";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1303";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1303";"ingénieur / ingénieure hydroécologue";"https://www.onisep.fr/http/redirection/metier/slug/MET.349";"Ingénieur / Ingénieure agronome";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1303";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1303";"paysagiste";"https://www.onisep.fr/http/redirection/metier/slug/MET.158";"Ingénieur / Ingénieure agronome";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1303";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1303";"chef / cheffe de projet biodiversité";"https://www.onisep.fr/http/redirection/metier/slug/MET.944";"Ingénieur / Ingénieure agronome";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1303";"Oui";"EMPLOI_VERT";"Non";"Non"
"A1303";"chargé / chargée d'études naturalistes";"https://www.onisep.fr/http/redirection/metier/slug/MET.610";"Ingénieur / Ingénieure agronome";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1303";"Oui";"EMPLOI_VERT";"Non";"Non"
